"testId","tech","paramIdx","param","mddl","mda","mae_md","rmse_md","mae","rmse","dist"
1,"ssa",2," 7, 3,1d-ssa,2,20",0.0640178122369084,5.43454537329735e-14,8.24272149358959e-16,5.43454537329735e-14,8.34140625418819e-16,1.24776403763553e-15,0.279810711110302
1,"ssa",3," 8, 3,1d-ssa,2,20",2.22371504811543,5.51564425635057e-14,7.96767515634648e-16,5.51564425635057e-14,8.08407329696083e-16,1.27088131721954e-15,2.35290201314507
1,"ssa",4," 9, 3,1d-ssa,2,20",0.589176563760248,4.86081373956336e-14,7.21290625788109e-16,4.86081373956336e-14,7.31636469305293e-16,1.11938403786853e-15,0.697294794433699
1,"ssa",5,"10, 3,1d-ssa,2,20",-1.25579351058082,5.486850530106e-14,7.91419672343171e-16,5.486850530106e-14,8.04498710899985e-16,1.26214494591028e-15,1.28867361369962
1,"ssa",6,"25, 3,1d-ssa,2,20",1.30488741686497,6.17388019929264e-14,9.94852773821247e-16,6.17388019929264e-14,1.01364699075301e-15,1.42842865164316e-15,1.41180758848752
1,"ssa",7,"50, 3,1d-ssa,2,20",0.109237704882337,6.25865688820056e-14,9.02722252857989e-16,6.25865688820056e-14,9.24337464249467e-16,1.46670267903137e-15,0.300297495532063
1,"ssa",9," 7, 4,1d-ssa,2,20",-0.115763327436187,5.43454537329735e-14,8.24272149358959e-16,5.43454537329735e-14,8.34140625418819e-16,1.24776403763553e-15,0.272694049215239
1,"ssa",10," 8, 4,1d-ssa,2,20",-1.05456348155711,5.51564425635057e-14,7.96767515634648e-16,5.51564425635057e-14,8.08407329696083e-16,1.27088131721954e-15,1.08552834084735
1,"ssa",11," 9, 4,1d-ssa,2,20",-1.29344051485168,4.86081373956336e-14,7.21290625788109e-16,4.86081373956336e-14,7.31636469305293e-16,1.11938403786853e-15,1.32685428019769
1,"ssa",12,"10, 4,1d-ssa,2,20",-0.745608269574408,5.486850530106e-14,7.91419672343171e-16,5.486850530106e-14,8.04498710899985e-16,1.26214494591028e-15,0.778885646744682
1,"ssa",13,"25, 4,1d-ssa,2,20",0.209542435456938,6.17388019929264e-14,9.94852773821247e-16,6.17388019929264e-14,1.01364699075301e-15,1.42842865164316e-15,0.363554104082701
1,"ssa",14,"50, 4,1d-ssa,2,20",-0.825793321793194,6.25865688820056e-14,9.02722252857989e-16,6.25865688820056e-14,9.24337464249467e-16,1.46670267903137e-15,0.857553549209189
